,date,store_nbr,sales
315,2013-01-06,50,16832.682
316,2013-01-06,51,15730.169
317,2013-01-06,52,0.0
318,2013-01-06,53,0.0
319,2013-01-06,54,6330.296
324,2013-01-07,1,6150.9243
335,2013-01-07,2,6675.971
346,2013-01-07,3,17036.254
357,2013-01-07,4,6748.196
368,2013-01-07,5,6468.3213
374,2013-01-07,6,8414.777
375,2013-01-07,7,9551.409
376,2013-01-07,8,9755.461
377,2013-01-07,9,8951.149
325,2013-01-07,10,4161.966
326,2013-01-07,11,10902.779
327,2013-01-07,12,3911.492
328,2013-01-07,13,4012.965
329,2013-01-07,14,5577.955
330,2013-01-07,15,4923.905
331,2013-01-07,16,4826.401
332,2013-01-07,17,5841.2188
333,2013-01-07,18,4451.043
334,2013-01-07,19,3858.209
336,2013-01-07,20,0.0
337,2013-01-07,21,0.0
338,2013-01-07,22,0.0
339,2013-01-07,23,6875.741
340,2013-01-07,24,8372.484
341,2013-01-07,25,2783.978
342,2013-01-07,26,3356.073
343,2013-01-07,27,4832.523
344,2013-01-07,28,3665.54
345,2013-01-07,29,0.0
347,2013-01-07,30,2350.539
348,2013-01-07,31,5112.127
349,2013-01-07,32,2338.176
350,2013-01-07,33,5349.985
351,2013-01-07,34,6067.254
352,2013-01-07,35,2094.506
353,2013-01-07,36,0.0
354,2013-01-07,37,7569.456
355,2013-01-07,38,6264.249
356,2013-01-07,39,5822.8257
358,2013-01-07,40,4497.295
359,2013-01-07,41,3292.9321
360,2013-01-07,42,0.0
361,2013-01-07,43,4309.247
362,2013-01-07,44,21025.328
363,2013-01-07,45,17309.963
364,2013-01-07,46,14835.85
365,2013-01-07,47,15882.998
366,2013-01-07,48,12466.907
367,2013-01-07,49,9865.646
369,2013-01-07,50,11405.1045
370,2013-01-07,51,11514.676
371,2013-01-07,52,0.0
372,2013-01-07,53,0.0
373,2013-01-07,54,4641.001
378,2013-01-08,1,5597.181
389,2013-01-08,2,6109.567
400,2013-01-08,3,14220.417
411,2013-01-08,4,6017.6143
422,2013-01-08,5,6427.859
428,2013-01-08,6,7816.339
429,2013-01-08,7,8200.949
430,2013-01-08,8,8281.571
431,2013-01-08,9,9334.926
379,2013-01-08,10,3716.11
380,2013-01-08,11,10182.083
381,2013-01-08,12,5997.883
382,2013-01-08,13,3891.686
383,2013-01-08,14,5424.656
384,2013-01-08,15,4450.317
385,2013-01-08,16,4582.702
386,2013-01-08,17,5060.767
387,2013-01-08,18,4233.012
388,2013-01-08,19,4517.112
390,2013-01-08,20,0.0
391,2013-01-08,21,0.0
392,2013-01-08,22,0.0
393,2013-01-08,23,4231.891
394,2013-01-08,24,8583.859
395,2013-01-08,25,2884.284
396,2013-01-08,26,3161.467
397,2013-01-08,27,4575.527
398,2013-01-08,28,3826.118
399,2013-01-08,29,0.0
401,2013-01-08,30,2104.2
402,2013-01-08,31,4823.2
403,2013-01-08,32,1983.456
404,2013-01-08,33,4684.521
405,2013-01-08,34,5519.704
406,2013-01-08,35,2113.619
407,2013-01-08,36,0.0
408,2013-01-08,37,7041.23
409,2013-01-08,38,5020.822
410,2013-01-08,39,6587.149
412,2013-01-08,40,4646.065
413,2013-01-08,41,3685.283
414,2013-01-08,42,0.0
415,2013-01-08,43,3903.739
416,2013-01-08,44,33993.258
417,2013-01-08,45,14230.149
418,2013-01-08,46,12684.897
419,2013-01-08,47,13098.628
420,2013-01-08,48,10014.949
421,2013-01-08,49,7403.504
423,2013-01-08,50,10323.583
424,2013-01-08,51,10525.46
425,2013-01-08,52,0.0
426,2013-01-08,53,0.0
427,2013-01-08,54,2634.464
432,2013-01-09,1,6808.579
443,2013-01-09,2,6740.516
454,2013-01-09,3,14735.148
465,2013-01-09,4,5867.8833
476,2013-01-09,5,6057.108
482,2013-01-09,6,7923.974
483,2013-01-09,7,7268.6157
484,2013-01-09,8,9759.066
485,2013-01-09,9,7193.351
433,2013-01-09,10,3108.797
434,2013-01-09,11,9405.815
435,2013-01-09,12,3375.408
436,2013-01-09,13,3485.425
437,2013-01-09,14,4927.542
438,2013-01-09,15,3580.164
439,2013-01-09,16,4354.33
440,2013-01-09,17,4797.267
441,2013-01-09,18,3742.55
442,2013-01-09,19,3397.542
444,2013-01-09,20,0.0
445,2013-01-09,21,0.0
446,2013-01-09,22,0.0
447,2013-01-09,23,7407.798
448,2013-01-09,24,10383.336
449,2013-01-09,25,3565.639
450,2013-01-09,26,3201.146
451,2013-01-09,27,4551.224
452,2013-01-09,28,2634.825
453,2013-01-09,29,0.0
455,2013-01-09,30,2059.615
456,2013-01-09,31,3847.153
457,2013-01-09,32,1771.797
458,2013-01-09,33,4062.958
459,2013-01-09,34,5364.661
460,2013-01-09,35,1823.754
461,2013-01-09,36,0.0
462,2013-01-09,37,8305.047
463,2013-01-09,38,6236.67
464,2013-01-09,39,4473.921
466,2013-01-09,40,3339.504
467,2013-01-09,41,3026.804
468,2013-01-09,42,0.0
469,2013-01-09,43,3731.603
470,2013-01-09,44,21296.041
471,2013-01-09,45,15477.24
472,2013-01-09,46,11619.177
473,2013-01-09,47,14781.954
474,2013-01-09,48,8860.459
475,2013-01-09,49,8949.764
477,2013-01-09,50,9822.024
478,2013-01-09,51,12751.337
479,2013-01-09,52,0.0
480,2013-01-09,53,0.0
481,2013-01-09,54,2656.275
486,2013-01-10,1,4757.715
497,2013-01-10,2,5565.036
508,2013-01-10,3,12222.912
519,2013-01-10,4,4674.246
530,2013-01-10,5,5950.814
536,2013-01-10,6,5991.661
537,2013-01-10,7,7210.119
538,2013-01-10,8,8642.577
539,2013-01-10,9,7173.656
487,2013-01-10,10,3087.606
488,2013-01-10,11,9524.259
489,2013-01-10,12,3434.837
490,2013-01-10,13,3262.861
491,2013-01-10,14,4138.838
492,2013-01-10,15,4116.859
493,2013-01-10,16,3497.292
494,2013-01-10,17,4714.944
495,2013-01-10,18,4234.049
496,2013-01-10,19,3295.251
498,2013-01-10,20,0.0
499,2013-01-10,21,0.0
500,2013-01-10,22,0.0
501,2013-01-10,23,4044.996
502,2013-01-10,24,8296.848
503,2013-01-10,25,2673.934
504,2013-01-10,26,3560.259
505,2013-01-10,27,4091.2222
506,2013-01-10,28,2843.0579
507,2013-01-10,29,0.0
509,2013-01-10,30,2010.4451
510,2013-01-10,31,4056.249
511,2013-01-10,32,2045.384
512,2013-01-10,33,3212.466
513,2013-01-10,34,4699.461
514,2013-01-10,35,1621.572
515,2013-01-10,36,0.0
516,2013-01-10,37,6105.35
517,2013-01-10,38,4742.981
518,2013-01-10,39,5583.423
520,2013-01-10,40,3263.473
521,2013-01-10,41,2592.269
522,2013-01-10,42,0.0
523,2013-01-10,43,3516.836
524,2013-01-10,44,15522.828
525,2013-01-10,45,10848.866
526,2013-01-10,46,9848.527
527,2013-01-10,47,12557.096
528,2013-01-10,48,8438.169
529,2013-01-10,49,6697.649
531,2013-01-10,50,8124.36
532,2013-01-10,51,9939.93
533,2013-01-10,52,0.0
534,2013-01-10,53,0.0
535,2013-01-10,54,2548.82
540,2013-01-11,1,5494.016
551,2013-01-11,2,6459.7847
562,2013-01-11,3,14997.531
573,2013-01-11,4,6109.589
584,2013-01-11,5,6379.9727
590,2013-01-11,6,7516.692
591,2013-01-11,7,6897.339
592,2013-01-11,8,10777.611
593,2013-01-11,9,5777.136
541,2013-01-11,10,3044.623
542,2013-01-11,11,8173.3413
543,2013-01-11,12,3419.338
544,2013-01-11,13,3128.2148
545,2013-01-11,14,4531.39
546,2013-01-11,15,3602.58
547,2013-01-11,16,3309.806
548,2013-01-11,17,4156.599
549,2013-01-11,18,3393.733
550,2013-01-11,19,3936.346
552,2013-01-11,20,0.0
553,2013-01-11,21,0.0
554,2013-01-11,22,0.0
555,2013-01-11,23,4167.432
556,2013-01-11,24,9188.096
557,2013-01-11,25,4794.148
558,2013-01-11,26,3222.095
559,2013-01-11,27,3763.134
560,2013-01-11,28,2568.746
561,2013-01-11,29,0.0
563,2013-01-11,30,1815.917
564,2013-01-11,31,4162.574
565,2013-01-11,32,2347.323
566,2013-01-11,33,4040.158
567,2013-01-11,34,6452.344
568,2013-01-11,35,1693.4869
569,2013-01-11,36,0.0
570,2013-01-11,37,6795.1963
571,2013-01-11,38,6211.376
572,2013-01-11,39,4304.53
574,2013-01-11,40,3540.153
575,2013-01-11,41,3017.431
576,2013-01-11,42,0.0
577,2013-01-11,43,4071.888
578,2013-01-11,44,19738.475
579,2013-01-11,45,14211.401
580,2013-01-11,46,11766.188
581,2013-01-11,47,15506.021
582,2013-01-11,48,10315.506
583,2013-01-11,49,7993.129
585,2013-01-11,50,8876.278
586,2013-01-11,51,11170.111
587,2013-01-11,52,0.0
588,2013-01-11,53,0.0
589,2013-01-11,54,2898.904
594,2013-01-12,1,5467.783
605,2013-01-12,2,8215.0
616,2013-01-12,3,20103.025
627,2013-01-12,4,7245.197
638,2013-01-12,5,6935.206
644,2013-01-12,6,10220.597
645,2013-01-12,7,7179.963
646,2013-01-12,8,12540.556
647,2013-01-12,9,10308.324
595,2013-01-12,10,4186.056
596,2013-01-12,11,12142.971
597,2013-01-12,12,4898.574
598,2013-01-12,13,5361.83
599,2013-01-12,14,7193.645
600,2013-01-12,15,4787.259
601,2013-01-12,16,4530.499
602,2013-01-12,17,6547.829
603,2013-01-12,18,4802.626
604,2013-01-12,19,4824.005
606,2013-01-12,20,0.0
607,2013-01-12,21,0.0
608,2013-01-12,22,0.0
609,2013-01-12,23,5478.61
610,2013-01-12,24,10410.881
611,2013-01-12,25,7036.223
612,2013-01-12,26,3917.517
613,2013-01-12,27,6831.978
614,2013-01-12,28,4894.783
615,2013-01-12,29,0.0
617,2013-01-12,30,2701.779
618,2013-01-12,31,6299.793
619,2013-01-12,32,2581.304
620,2013-01-12,33,5226.362
621,2013-01-12,34,6645.531
622,2013-01-12,35,3247.009
623,2013-01-12,36,0.0
624,2013-01-12,37,8429.158
625,2013-01-12,38,8617.246
626,2013-01-12,39,10403.725
628,2013-01-12,40,4949.431
629,2013-01-12,41,4247.3853
630,2013-01-12,42,0.0
631,2013-01-12,43,3894.417
632,2013-01-12,44,25418.678
633,2013-01-12,45,22140.055
634,2013-01-12,46,19544.309
635,2013-01-12,47,21611.572
636,2013-01-12,48,16388.637
637,2013-01-12,49,11364.16
639,2013-01-12,50,14671.171
640,2013-01-12,51,14567.408
641,2013-01-12,52,0.0
642,2013-01-12,53,0.0
643,2013-01-12,54,4248.146
648,2013-01-13,1,2693.878
659,2013-01-13,2,10029.188
670,2013-01-13,3,20230.129
681,2013-01-13,4,10677.335
692,2013-01-13,5,9284.703
698,2013-01-13,6,14205.989
699,2013-01-13,7,8143.62
700,2013-01-13,8,14227.958
701,2013-01-13,9,13268.357
649,2013-01-13,10,4919.65
650,2013-01-13,11,12111.495
651,2013-01-13,12,5472.143
652,2013-01-13,13,3922.927
653,2013-01-13,14,4927.328
654,2013-01-13,15,4061.469
655,2013-01-13,16,7229.828
656,2013-01-13,17,8069.092
657,2013-01-13,18,6843.665
658,2013-01-13,19,4878.022
660,2013-01-13,20,0.0
661,2013-01-13,21,0.0
662,2013-01-13,22,0.0
663,2013-01-13,23,5227.582
664,2013-01-13,24,10914.778
665,2013-01-13,25,3174.204
666,2013-01-13,26,5713.734
667,2013-01-13,27,9239.831
668,2013-01-13,28,7721.679
669,2013-01-13,29,0.0
671,2013-01-13,30,2932.589
672,2013-01-13,31,8238.797
673,2013-01-13,32,2569.8071
674,2013-01-13,33,6123.217
675,2013-01-13,34,6559.635
676,2013-01-13,35,2249.97
677,2013-01-13,36,0.0
678,2013-01-13,37,7128.3027
679,2013-01-13,38,10035.788
680,2013-01-13,39,7750.8047
682,2013-01-13,40,5254.032
683,2013-01-13,41,6301.521
684,2013-01-13,42,0.0
685,2013-01-13,43,4636.879
686,2013-01-13,44,31129.352
687,2013-01-13,45,27715.914
688,2013-01-13,46,26003.723
689,2013-01-13,47,27466.768
690,2013-01-13,48,22270.361
691,2013-01-13,49,15268.749
693,2013-01-13,50,16617.498
694,2013-01-13,51,14753.413
695,2013-01-13,52,0.0
696,2013-01-13,53,0.0
697,2013-01-13,54,6442.847
702,2013-01-14,1,5651.685
713,2013-01-14,2,5963.017
724,2013-01-14,3,14202.92
735,2013-01-14,4,5399.8003
746,2013-01-14,5,6090.491
752,2013-01-14,6,7694.75
753,2013-01-14,7,8020.472
754,2013-01-14,8,9174.19
755,2013-01-14,9,8723.624
703,2013-01-14,10,3384.093
704,2013-01-14,11,8460.26
705,2013-01-14,12,3700.512
706,2013-01-14,13,3755.465
707,2013-01-14,14,5336.432
708,2013-01-14,15,4425.924
709,2013-01-14,16,4256.067
710,2013-01-14,17,5607.061
711,2013-01-14,18,3975.59
712,2013-01-14,19,3820.142
714,2013-01-14,20,0.0
715,2013-01-14,21,0.0
716,2013-01-14,22,0.0
717,2013-01-14,23,4357.227
718,2013-01-14,24,8373.673
719,2013-01-14,25,3156.0562
720,2013-01-14,26,3506.997
721,2013-01-14,27,4827.202
722,2013-01-14,28,3409.722
723,2013-01-14,29,0.0
725,2013-01-14,30,2283.881
726,2013-01-14,31,5029.7437
727,2013-01-14,32,2015.179
728,2013-01-14,33,4427.272
729,2013-01-14,34,5890.907
730,2013-01-14,35,2109.892
731,2013-01-14,36,0.0
732,2013-01-14,37,6376.966
733,2013-01-14,38,5942.527
734,2013-01-14,39,5322.9
736,2013-01-14,40,4145.396
737,2013-01-14,41,3326.2559
738,2013-01-14,42,0.0
739,2013-01-14,43,3534.178
740,2013-01-14,44,17518.412
741,2013-01-14,45,13467.194
742,2013-01-14,46,12345.81
743,2013-01-14,47,13685.85
744,2013-01-14,48,8997.086
745,2013-01-14,49,8095.5527
747,2013-01-14,50,9432.882
748,2013-01-14,51,10732.842
749,2013-01-14,52,0.0
750,2013-01-14,53,0.0
751,2013-01-14,54,3394.265
756,2013-01-15,1,5204.174
767,2013-01-15,2,5841.515
778,2013-01-15,3,13860.338
789,2013-01-15,4,6089.669
800,2013-01-15,5,6209.218
806,2013-01-15,6,7587.9316
807,2013-01-15,7,7888.646
808,2013-01-15,8,8567.558
809,2013-01-15,9,8599.905
757,2013-01-15,10,3848.841
758,2013-01-15,11,9064.256
759,2013-01-15,12,3999.869
760,2013-01-15,13,3769.515
761,2013-01-15,14,4770.311
762,2013-01-15,15,3736.047
763,2013-01-15,16,4684.52
764,2013-01-15,17,5240.764
765,2013-01-15,18,4686.08
766,2013-01-15,19,3106.69
768,2013-01-15,20,0.0
769,2013-01-15,21,0.0
770,2013-01-15,22,0.0
771,2013-01-15,23,10066.204
772,2013-01-15,24,8755.13
773,2013-01-15,25,3005.576
774,2013-01-15,26,3794.025
775,2013-01-15,27,4514.514
776,2013-01-15,28,4008.0269
777,2013-01-15,29,0.0
779,2013-01-15,30,2787.05
780,2013-01-15,31,5492.106
781,2013-01-15,32,2097.696
782,2013-01-15,33,4646.0103
783,2013-01-15,34,5890.276
784,2013-01-15,35,2539.786
785,2013-01-15,36,0.0
786,2013-01-15,37,7696.863
787,2013-01-15,38,5056.7583
788,2013-01-15,39,5418.598
790,2013-01-15,40,4590.991
791,2013-01-15,41,3116.79
792,2013-01-15,42,0.0
793,2013-01-15,43,3689.284
794,2013-01-15,44,15761.721
795,2013-01-15,45,13640.9375
796,2013-01-15,46,11744.594
797,2013-01-15,47,14380.483
798,2013-01-15,48,9573.603
799,2013-01-15,49,7533.966
801,2013-01-15,50,8698.29
802,2013-01-15,51,10648.974
803,2013-01-15,52,0.0
804,2013-01-15,53,0.0
805,2013-01-15,54,3225.449
810,2013-01-16,1,6733.5957
821,2013-01-16,2,7145.498
832,2013-01-16,3,16888.12
843,2013-01-16,4,7106.776
854,2013-01-16,5,6821.912
860,2013-01-16,6,9183.523
861,2013-01-16,7,8314.345
862,2013-01-16,8,10511.751
863,2013-01-16,9,7858.054
811,2013-01-16,10,3090.116
812,2013-01-16,11,8349.785
813,2013-01-16,12,3215.464
814,2013-01-16,13,3089.9111
815,2013-01-16,14,4254.095
816,2013-01-16,15,4319.945
817,2013-01-16,16,3356.067
818,2013-01-16,17,4666.534
819,2013-01-16,18,4222.622
820,2013-01-16,19,3307.452
822,2013-01-16,20,0.0
823,2013-01-16,21,0.0
824,2013-01-16,22,0.0
825,2013-01-16,23,4582.5513
826,2013-01-16,24,10363.573
827,2013-01-16,25,3854.7
828,2013-01-16,26,3580.0562
829,2013-01-16,27,5210.396
830,2013-01-16,28,3646.3591
831,2013-01-16,29,0.0
833,2013-01-16,30,2086.946
834,2013-01-16,31,4025.658
835,2013-01-16,32,1832.261
836,2013-01-16,33,4688.105
837,2013-01-16,34,5774.602
838,2013-01-16,35,2168.956
839,2013-01-16,36,0.0
840,2013-01-16,37,8429.868
841,2013-01-16,38,5681.722
842,2013-01-16,39,4554.361
844,2013-01-16,40,3856.579
845,2013-01-16,41,3132.384
846,2013-01-16,42,0.0
847,2013-01-16,43,3415.579
848,2013-01-16,44,21994.873
849,2013-01-16,45,16801.527
850,2013-01-16,46,13205.685
851,2013-01-16,47,16137.23
852,2013-01-16,48,9480.699
853,2013-01-16,49,10288.212
855,2013-01-16,50,10889.741
856,2013-01-16,51,13738.811
857,2013-01-16,52,0.0
858,2013-01-16,53,0.0
859,2013-01-16,54,2490.915
864,2013-01-17,1,4942.474
875,2013-01-17,2,5706.2007
886,2013-01-17,3,12990.799
897,2013-01-17,4,5024.425
908,2013-01-17,5,5739.371
914,2013-01-17,6,6800.0537
915,2013-01-17,7,6822.315
916,2013-01-17,8,8372.52
917,2013-01-17,9,7030.043
865,2013-01-17,10,2878.127
866,2013-01-17,11,8179.5317
867,2013-01-17,12,3499.295
868,2013-01-17,13,2976.131
869,2013-01-17,14,3936.9438
870,2013-01-17,15,3785.211
871,2013-01-17,16,3791.626
872,2013-01-17,17,4434.525
