,store_nbr,family,year,sales,city,store_nbr_city
37,1,CLEANING,2015,240140.0,Santiago,1 - Santiago
38,1,CLEANING,2016,240246.0,Santiago,1 - Santiago
39,1,CLEANING,2017,150354.0,Santiago,1 - Santiago
40,1,DAIRY,2013,154534.0,Santiago,1 - Santiago
41,1,DAIRY,2014,223514.0,Santiago,1 - Santiago
42,1,DAIRY,2015,245323.0,Santiago,1 - Santiago
43,1,DAIRY,2016,266232.0,Santiago,1 - Santiago
44,1,DAIRY,2017,164751.0,Santiago,1 - Santiago
45,1,DELI,2013,39419.152,Santiago,1 - Santiago
46,1,DELI,2014,39314.953,Santiago,1 - Santiago
47,1,DELI,2015,51764.727,Santiago,1 - Santiago
48,1,DELI,2016,46210.0,Santiago,1 - Santiago
49,1,DELI,2017,30328.244,Santiago,1 - Santiago
50,1,EGGS,2013,51457.0,Santiago,1 - Santiago
51,1,EGGS,2014,52743.0,Santiago,1 - Santiago
52,1,EGGS,2015,51803.0,Santiago,1 - Santiago
53,1,EGGS,2016,49026.0,Santiago,1 - Santiago
54,1,EGGS,2017,31477.0,Santiago,1 - Santiago
55,1,FROZEN FOODS,2013,42115.83,Santiago,1 - Santiago
56,1,FROZEN FOODS,2014,46466.11,Santiago,1 - Santiago
57,1,FROZEN FOODS,2015,55602.33,Santiago,1 - Santiago
58,1,FROZEN FOODS,2016,48363.64,Santiago,1 - Santiago
59,1,FROZEN FOODS,2017,25378.477,Santiago,1 - Santiago
60,1,GROCERY I,2013,675641.0,Santiago,1 - Santiago
61,1,GROCERY I,2014,741844.0,Santiago,1 - Santiago
62,1,GROCERY I,2015,813668.0,Santiago,1 - Santiago
63,1,GROCERY I,2016,919204.0,Santiago,1 - Santiago
64,1,GROCERY I,2017,593466.0,Santiago,1 - Santiago
65,1,GROCERY II,2013,8137.0,Santiago,1 - Santiago
66,1,GROCERY II,2014,8509.0,Santiago,1 - Santiago
67,1,GROCERY II,2015,8364.0,Santiago,1 - Santiago
68,1,GROCERY II,2016,6960.0,Santiago,1 - Santiago
69,1,GROCERY II,2017,4813.0,Santiago,1 - Santiago
70,1,HARDWARE,2013,522.0,Santiago,1 - Santiago
71,1,HARDWARE,2014,596.0,Santiago,1 - Santiago
72,1,HARDWARE,2015,520.0,Santiago,1 - Santiago
73,1,HARDWARE,2016,628.0,Santiago,1 - Santiago
74,1,HARDWARE,2017,428.0,Santiago,1 - Santiago
75,1,HOME AND KITCHEN I,2013,0.0,Santiago,1 - Santiago
76,1,HOME AND KITCHEN I,2014,4905.0,Santiago,1 - Santiago
77,1,HOME AND KITCHEN I,2015,7781.0,Santiago,1 - Santiago
78,1,HOME AND KITCHEN I,2016,7563.0,Santiago,1 - Santiago
79,1,HOME AND KITCHEN I,2017,4757.0,Santiago,1 - Santiago
80,1,HOME AND KITCHEN II,2013,0.0,Santiago,1 - Santiago
81,1,HOME AND KITCHEN II,2014,1205.0,Santiago,1 - Santiago
82,1,HOME AND KITCHEN II,2015,6118.0,Santiago,1 - Santiago
83,1,HOME AND KITCHEN II,2016,9301.0,Santiago,1 - Santiago
84,1,HOME AND KITCHEN II,2017,5172.0,Santiago,1 - Santiago
85,1,HOME APPLIANCES,2013,94.0,Santiago,1 - Santiago
86,1,HOME APPLIANCES,2014,146.0,Santiago,1 - Santiago
87,1,HOME APPLIANCES,2015,145.0,Santiago,1 - Santiago
88,1,HOME APPLIANCES,2016,64.0,Santiago,1 - Santiago
89,1,HOME APPLIANCES,2017,120.0,Santiago,1 - Santiago
90,1,HOME CARE,2013,0.0,Santiago,1 - Santiago
91,1,HOME CARE,2014,32322.0,Santiago,1 - Santiago
92,1,HOME CARE,2015,37764.0,Santiago,1 - Santiago
93,1,HOME CARE,2016,60404.0,Santiago,1 - Santiago
94,1,HOME CARE,2017,39572.0,Santiago,1 - Santiago
95,1,LADIESWEAR,2013,0.0,Santiago,1 - Santiago
96,1,LADIESWEAR,2014,4210.0,Santiago,1 - Santiago
97,1,LADIESWEAR,2015,3303.0,Santiago,1 - Santiago
98,1,LADIESWEAR,2016,5216.0,Santiago,1 - Santiago
99,1,LADIESWEAR,2017,3106.0,Santiago,1 - Santiago
100,1,LAWN AND GARDEN,2013,1845.0,Santiago,1 - Santiago
101,1,LAWN AND GARDEN,2014,2959.0,Santiago,1 - Santiago
102,1,LAWN AND GARDEN,2015,3093.0,Santiago,1 - Santiago
103,1,LAWN AND GARDEN,2016,2978.0,Santiago,1 - Santiago
104,1,LAWN AND GARDEN,2017,4294.0,Santiago,1 - Santiago
105,1,LINGERIE,2013,3412.0,Santiago,1 - Santiago
106,1,LINGERIE,2014,2685.0,Santiago,1 - Santiago
107,1,LINGERIE,2015,2240.0,Santiago,1 - Santiago
108,1,LINGERIE,2016,1281.0,Santiago,1 - Santiago
109,1,LINGERIE,2017,1696.0,Santiago,1 - Santiago
110,1,"LIQUOR,WINE,BEER",2013,33359.0,Santiago,1 - Santiago
111,1,"LIQUOR,WINE,BEER",2014,35169.0,Santiago,1 - Santiago
112,1,"LIQUOR,WINE,BEER",2015,40634.0,Santiago,1 - Santiago
113,1,"LIQUOR,WINE,BEER",2016,40093.0,Santiago,1 - Santiago
114,1,"LIQUOR,WINE,BEER",2017,20856.0,Santiago,1 - Santiago
115,1,MAGAZINES,2013,0.0,Santiago,1 - Santiago
116,1,MAGAZINES,2014,333.0,Santiago,1 - Santiago
117,1,MAGAZINES,2015,971.0,Santiago,1 - Santiago
118,1,MAGAZINES,2016,2554.0,Santiago,1 - Santiago
119,1,MAGAZINES,2017,1541.0,Santiago,1 - Santiago
120,1,MEATS,2013,115073.08,Santiago,1 - Santiago
121,1,MEATS,2014,114902.75,Santiago,1 - Santiago
122,1,MEATS,2015,117742.56,Santiago,1 - Santiago
123,1,MEATS,2016,108956.68,Santiago,1 - Santiago
124,1,MEATS,2017,70933.23,Santiago,1 - Santiago
125,1,PERSONAL CARE,2013,33563.0,Santiago,1 - Santiago
126,1,PERSONAL CARE,2014,44763.0,Santiago,1 - Santiago
127,1,PERSONAL CARE,2015,51237.0,Santiago,1 - Santiago
128,1,PERSONAL CARE,2016,54116.0,Santiago,1 - Santiago
129,1,PERSONAL CARE,2017,33855.0,Santiago,1 - Santiago
130,1,PET SUPPLIES,2013,0.0,Santiago,1 - Santiago
131,1,PET SUPPLIES,2014,1307.0,Santiago,1 - Santiago
132,1,PET SUPPLIES,2015,1230.0,Santiago,1 - Santiago
133,1,PET SUPPLIES,2016,1981.0,Santiago,1 - Santiago
134,1,PET SUPPLIES,2017,1332.0,Santiago,1 - Santiago
135,1,PLAYERS AND ELECTRONICS,2013,0.0,Santiago,1 - Santiago
136,1,PLAYERS AND ELECTRONICS,2014,1463.0,Santiago,1 - Santiago
137,1,PLAYERS AND ELECTRONICS,2015,1863.0,Santiago,1 - Santiago
138,1,PLAYERS AND ELECTRONICS,2016,3611.0,Santiago,1 - Santiago
139,1,PLAYERS AND ELECTRONICS,2017,1976.0,Santiago,1 - Santiago
140,1,POULTRY,2013,70779.65,Santiago,1 - Santiago
141,1,POULTRY,2014,122588.09,Santiago,1 - Santiago
142,1,POULTRY,2015,108054.66,Santiago,1 - Santiago
143,1,POULTRY,2016,105174.18,Santiago,1 - Santiago
144,1,POULTRY,2017,72024.79,Santiago,1 - Santiago
145,1,PREPARED FOODS,2013,23108.06,Santiago,1 - Santiago
146,1,PREPARED FOODS,2014,30528.72,Santiago,1 - Santiago
147,1,PREPARED FOODS,2015,32756.758,Santiago,1 - Santiago
148,1,PREPARED FOODS,2016,31922.734,Santiago,1 - Santiago
149,1,PREPARED FOODS,2017,17663.287,Santiago,1 - Santiago
150,1,PRODUCE,2013,1660.0,Santiago,1 - Santiago
151,1,PRODUCE,2014,483904.8,Santiago,1 - Santiago
152,1,PRODUCE,2015,511959.22,Santiago,1 - Santiago
153,1,PRODUCE,2016,876821.75,Santiago,1 - Santiago
154,1,PRODUCE,2017,568984.2,Santiago,1 - Santiago
155,1,SCHOOL AND OFFICE SUPPLIES,2013,0.0,Santiago,1 - Santiago
156,1,SCHOOL AND OFFICE SUPPLIES,2014,63.0,Santiago,1 - Santiago
157,1,SCHOOL AND OFFICE SUPPLIES,2015,80.0,Santiago,1 - Santiago
158,1,SCHOOL AND OFFICE SUPPLIES,2016,100.0,Santiago,1 - Santiago
159,1,SCHOOL AND OFFICE SUPPLIES,2017,46.0,Santiago,1 - Santiago
160,1,SEAFOOD,2013,8541.94,Santiago,1 - Santiago
161,1,SEAFOOD,2014,9668.597,Santiago,1 - Santiago
162,1,SEAFOOD,2015,9580.47,Santiago,1 - Santiago
163,1,SEAFOOD,2016,9639.274,Santiago,1 - Santiago
164,1,SEAFOOD,2017,6258.729,Santiago,1 - Santiago
165,10,AUTOMOTIVE,2013,1058.0,Santiago,10 - Santiago
166,10,AUTOMOTIVE,2014,1275.0,Santiago,10 - Santiago
167,10,AUTOMOTIVE,2015,1087.0,Santiago,10 - Santiago
168,10,AUTOMOTIVE,2016,1180.0,Santiago,10 - Santiago
169,10,AUTOMOTIVE,2017,592.0,Santiago,10 - Santiago
170,10,BABY CARE,2013,0.0,Santiago,10 - Santiago
171,10,BABY CARE,2014,270.0,Santiago,10 - Santiago
172,10,BABY CARE,2015,12.0,Santiago,10 - Santiago
173,10,BABY CARE,2016,155.0,Santiago,10 - Santiago
174,10,BABY CARE,2017,24.0,Santiago,10 - Santiago
175,10,BEAUTY,2013,481.0,Santiago,10 - Santiago
176,10,BEAUTY,2014,503.0,Santiago,10 - Santiago
177,10,BEAUTY,2015,395.0,Santiago,10 - Santiago
178,10,BEAUTY,2016,536.0,Santiago,10 - Santiago
179,10,BEAUTY,2017,397.0,Santiago,10 - Santiago
180,10,BEVERAGES,2013,185008.0,Santiago,10 - Santiago
181,10,BEVERAGES,2014,311794.0,Santiago,10 - Santiago
182,10,BEVERAGES,2015,325228.0,Santiago,10 - Santiago
183,10,BEVERAGES,2016,402413.0,Santiago,10 - Santiago
184,10,BEVERAGES,2017,282898.0,Santiago,10 - Santiago
185,10,BOOKS,2013,0.0,Santiago,10 - Santiago
186,10,BOOKS,2014,0.0,Santiago,10 - Santiago
187,10,BOOKS,2015,0.0,Santiago,10 - Santiago
188,10,BOOKS,2016,0.0,Santiago,10 - Santiago
189,10,BOOKS,2017,0.0,Santiago,10 - Santiago
190,10,BREAD/BAKERY,2013,41769.0,Santiago,10 - Santiago
191,10,BREAD/BAKERY,2014,43938.0,Santiago,10 - Santiago
192,10,BREAD/BAKERY,2015,41828.0,Santiago,10 - Santiago
193,10,BREAD/BAKERY,2016,39806.0,Santiago,10 - Santiago
194,10,BREAD/BAKERY,2017,24080.0,Santiago,10 - Santiago
195,10,CELEBRATION,2013,0.0,Santiago,10 - Santiago
196,10,CELEBRATION,2014,1114.0,Santiago,10 - Santiago
197,10,CELEBRATION,2015,927.0,Santiago,10 - Santiago
198,10,CELEBRATION,2016,1485.0,Santiago,10 - Santiago
199,10,CELEBRATION,2017,888.0,Santiago,10 - Santiago
200,10,CLEANING,2013,281881.0,Santiago,10 - Santiago
201,10,CLEANING,2014,288789.0,Santiago,10 - Santiago
202,10,CLEANING,2015,297125.0,Santiago,10 - Santiago
203,10,CLEANING,2016,270791.0,Santiago,10 - Santiago
204,10,CLEANING,2017,171244.0,Santiago,10 - Santiago
205,10,DAIRY,2013,42393.0,Santiago,10 - Santiago
206,10,DAIRY,2014,103572.0,Santiago,10 - Santiago
207,10,DAIRY,2015,90471.0,Santiago,10 - Santiago
208,10,DAIRY,2016,109777.0,Santiago,10 - Santiago
209,10,DAIRY,2017,76346.0,Santiago,10 - Santiago
210,10,DELI,2013,72392.0,Santiago,10 - Santiago
211,10,DELI,2014,88189.0,Santiago,10 - Santiago
212,10,DELI,2015,103258.0,Santiago,10 - Santiago
213,10,DELI,2016,95009.0,Santiago,10 - Santiago
214,10,DELI,2017,60763.0,Santiago,10 - Santiago
215,10,EGGS,2013,14301.0,Santiago,10 - Santiago
216,10,EGGS,2014,20541.0,Santiago,10 - Santiago
217,10,EGGS,2015,19314.0,Santiago,10 - Santiago
218,10,EGGS,2016,18949.0,Santiago,10 - Santiago
219,10,EGGS,2017,9161.0,Santiago,10 - Santiago
220,10,FROZEN FOODS,2013,10538.587,Santiago,10 - Santiago
221,10,FROZEN FOODS,2014,15520.524,Santiago,10 - Santiago
222,10,FROZEN FOODS,2015,21108.373,Santiago,10 - Santiago
223,10,FROZEN FOODS,2016,18331.055,Santiago,10 - Santiago
224,10,FROZEN FOODS,2017,7759.628,Santiago,10 - Santiago
225,10,GROCERY I,2013,815619.0,Santiago,10 - Santiago
226,10,GROCERY I,2014,854098.56,Santiago,10 - Santiago
227,10,GROCERY I,2015,892728.4,Santiago,10 - Santiago
228,10,GROCERY I,2016,960964.4,Santiago,10 - Santiago
229,10,GROCERY I,2017,602809.94,Santiago,10 - Santiago
230,10,GROCERY II,2013,1517.0,Santiago,10 - Santiago
231,10,GROCERY II,2014,1234.0,Santiago,10 - Santiago
232,10,GROCERY II,2015,1166.0,Santiago,10 - Santiago
233,10,GROCERY II,2016,1295.0,Santiago,10 - Santiago
234,10,GROCERY II,2017,1018.0,Santiago,10 - Santiago
235,10,HARDWARE,2013,231.0,Santiago,10 - Santiago
236,10,HARDWARE,2014,379.0,Santiago,10 - Santiago
237,10,HARDWARE,2015,325.0,Santiago,10 - Santiago
238,10,HARDWARE,2016,117.0,Santiago,10 - Santiago
239,10,HARDWARE,2017,99.0,Santiago,10 - Santiago
240,10,HOME AND KITCHEN I,2013,0.0,Santiago,10 - Santiago
241,10,HOME AND KITCHEN I,2014,2839.0,Santiago,10 - Santiago
242,10,HOME AND KITCHEN I,2015,3730.0,Santiago,10 - Santiago
243,10,HOME AND KITCHEN I,2016,3240.0,Santiago,10 - Santiago
244,10,HOME AND KITCHEN I,2017,2628.0,Santiago,10 - Santiago
245,10,HOME AND KITCHEN II,2013,0.0,Santiago,10 - Santiago
246,10,HOME AND KITCHEN II,2014,1355.0,Santiago,10 - Santiago
247,10,HOME AND KITCHEN II,2015,3567.0,Santiago,10 - Santiago
248,10,HOME AND KITCHEN II,2016,2378.0,Santiago,10 - Santiago
249,10,HOME AND KITCHEN II,2017,1787.0,Santiago,10 - Santiago
250,10,HOME APPLIANCES,2013,90.0,Santiago,10 - Santiago
251,10,HOME APPLIANCES,2014,91.0,Santiago,10 - Santiago
252,10,HOME APPLIANCES,2015,54.0,Santiago,10 - Santiago
253,10,HOME APPLIANCES,2016,35.0,Santiago,10 - Santiago
254,10,HOME APPLIANCES,2017,34.0,Santiago,10 - Santiago
255,10,HOME CARE,2013,0.0,Santiago,10 - Santiago
256,10,HOME CARE,2014,47289.0,Santiago,10 - Santiago
257,10,HOME CARE,2015,46949.0,Santiago,10 - Santiago
258,10,HOME CARE,2016,67531.0,Santiago,10 - Santiago
259,10,HOME CARE,2017,39776.0,Santiago,10 - Santiago
260,10,LADIESWEAR,2013,0.0,Santiago,10 - Santiago
261,10,LADIESWEAR,2014,1339.0,Santiago,10 - Santiago
262,10,LADIESWEAR,2015,1278.0,Santiago,10 - Santiago
263,10,LADIESWEAR,2016,1639.0,Santiago,10 - Santiago
264,10,LADIESWEAR,2017,1234.0,Santiago,10 - Santiago
265,10,LAWN AND GARDEN,2013,0.0,Santiago,10 - Santiago
266,10,LAWN AND GARDEN,2014,9.0,Santiago,10 - Santiago
267,10,LAWN AND GARDEN,2015,17.0,Santiago,10 - Santiago
268,10,LAWN AND GARDEN,2016,0.0,Santiago,10 - Santiago
269,10,LAWN AND GARDEN,2017,0.0,Santiago,10 - Santiago
270,10,LINGERIE,2013,1363.0,Santiago,10 - Santiago
271,10,LINGERIE,2014,2279.0,Santiago,10 - Santiago
272,10,LINGERIE,2015,854.0,Santiago,10 - Santiago
273,10,LINGERIE,2016,494.0,Santiago,10 - Santiago
274,10,LINGERIE,2017,463.0,Santiago,10 - Santiago
275,10,"LIQUOR,WINE,BEER",2013,4355.0,Santiago,10 - Santiago
276,10,"LIQUOR,WINE,BEER",2014,4944.0,Santiago,10 - Santiago
277,10,"LIQUOR,WINE,BEER",2015,4513.0,Santiago,10 - Santiago
278,10,"LIQUOR,WINE,BEER",2016,4143.0,Santiago,10 - Santiago
279,10,"LIQUOR,WINE,BEER",2017,2536.0,Santiago,10 - Santiago
280,10,MAGAZINES,2013,0.0,Santiago,10 - Santiago
281,10,MAGAZINES,2014,10.0,Santiago,10 - Santiago
282,10,MAGAZINES,2015,81.0,Santiago,10 - Santiago
283,10,MAGAZINES,2016,186.0,Santiago,10 - Santiago
284,10,MAGAZINES,2017,140.0,Santiago,10 - Santiago
285,10,MEATS,2013,84307.97,Santiago,10 - Santiago
286,10,MEATS,2014,75922.27,Santiago,10 - Santiago
287,10,MEATS,2015,59895.82,Santiago,10 - Santiago
288,10,MEATS,2016,58587.344,Santiago,10 - Santiago
289,10,MEATS,2017,35957.117,Santiago,10 - Santiago
290,10,PERSONAL CARE,2013,58383.0,Santiago,10 - Santiago
291,10,PERSONAL CARE,2014,61656.0,Santiago,10 - Santiago
292,10,PERSONAL CARE,2015,69340.0,Santiago,10 - Santiago
293,10,PERSONAL CARE,2016,69092.0,Santiago,10 - Santiago
294,10,PERSONAL CARE,2017,42312.0,Santiago,10 - Santiago
295,10,PET SUPPLIES,2013,0.0,Santiago,10 - Santiago
296,10,PET SUPPLIES,2014,68.0,Santiago,10 - Santiago
297,10,PET SUPPLIES,2015,65.0,Santiago,10 - Santiago
298,10,PET SUPPLIES,2016,213.0,Santiago,10 - Santiago
299,10,PET SUPPLIES,2017,211.0,Santiago,10 - Santiago
300,10,PLAYERS AND ELECTRONICS,2013,0.0,Santiago,10 - Santiago
301,10,PLAYERS AND ELECTRONICS,2014,617.0,Santiago,10 - Santiago
302,10,PLAYERS AND ELECTRONICS,2015,716.0,Santiago,10 - Santiago
303,10,PLAYERS AND ELECTRONICS,2016,1613.0,Santiago,10 - Santiago
304,10,PLAYERS AND ELECTRONICS,2017,959.0,Santiago,10 - Santiago
305,10,POULTRY,2013,52446.402,Santiago,10 - Santiago
306,10,POULTRY,2014,80195.89,Santiago,10 - Santiago
307,10,POULTRY,2015,68948.03,Santiago,10 - Santiago
308,10,POULTRY,2016,59978.27,Santiago,10 - Santiago
309,10,POULTRY,2017,33383.395,Santiago,10 - Santiago
310,10,PREPARED FOODS,2013,4303.0,Santiago,10 - Santiago
311,10,PREPARED FOODS,2014,4930.0,Santiago,10 - Santiago
312,10,PREPARED FOODS,2015,7347.0,Santiago,10 - Santiago
313,10,PREPARED FOODS,2016,12090.0,Santiago,10 - Santiago
314,10,PREPARED FOODS,2017,6410.0,Santiago,10 - Santiago
315,10,PRODUCE,2013,0.0,Santiago,10 - Santiago
316,10,PRODUCE,2014,55266.863,Santiago,10 - Santiago
317,10,PRODUCE,2015,52224.71,Santiago,10 - Santiago
318,10,PRODUCE,2016,87361.64,Santiago,10 - Santiago
319,10,PRODUCE,2017,55885.668,Santiago,10 - Santiago
320,10,SCHOOL AND OFFICE SUPPLIES,2013,0.0,Santiago,10 - Santiago
321,10,SCHOOL AND OFFICE SUPPLIES,2014,300.0,Santiago,10 - Santiago
322,10,SCHOOL AND OFFICE SUPPLIES,2015,145.0,Santiago,10 - Santiago
323,10,SCHOOL AND OFFICE SUPPLIES,2016,374.0,Santiago,10 - Santiago
324,10,SCHOOL AND OFFICE SUPPLIES,2017,39.0,Santiago,10 - Santiago
325,10,SEAFOOD,2013,755.0,Santiago,10 - Santiago
326,10,SEAFOOD,2014,867.0,Santiago,10 - Santiago
327,10,SEAFOOD,2015,1358.0,Santiago,10 - Santiago
328,10,SEAFOOD,2016,1427.0,Santiago,10 - Santiago
329,10,SEAFOOD,2017,438.0,Santiago,10 - Santiago
330,11,AUTOMOTIVE,2013,2061.0,Osorno,11 - Osorno
331,11,AUTOMOTIVE,2014,2408.0,Osorno,11 - Osorno
332,11,AUTOMOTIVE,2015,2410.0,Osorno,11 - Osorno
333,11,AUTOMOTIVE,2016,2480.0,Osorno,11 - Osorno
334,11,AUTOMOTIVE,2017,1907.0,Osorno,11 - Osorno
335,11,BABY CARE,2013,0.0,Osorno,11 - Osorno
336,11,BABY CARE,2014,18.0,Osorno,11 - Osorno
337,11,BABY CARE,2015,45.0,Osorno,11 - Osorno
338,11,BABY CARE,2016,151.0,Osorno,11 - Osorno
339,11,BABY CARE,2017,104.0,Osorno,11 - Osorno
340,11,BEAUTY,2013,1201.0,Osorno,11 - Osorno
341,11,BEAUTY,2014,1316.0,Osorno,11 - Osorno
342,11,BEAUTY,2015,1317.0,Osorno,11 - Osorno
343,11,BEAUTY,2016,2834.0,Osorno,11 - Osorno
344,11,BEAUTY,2017,1341.0,Osorno,11 - Osorno
345,11,BEVERAGES,2013,880930.0,Osorno,11 - Osorno
346,11,BEVERAGES,2014,1214338.0,Osorno,11 - Osorno
347,11,BEVERAGES,2015,1342292.0,Osorno,11 - Osorno
348,11,BEVERAGES,2016,1637906.0,Osorno,11 - Osorno
349,11,BEVERAGES,2017,1063837.0,Osorno,11 - Osorno
350,11,BOOKS,2013,0.0,Osorno,11 - Osorno
351,11,BOOKS,2014,0.0,Osorno,11 - Osorno
352,11,BOOKS,2015,0.0,Osorno,11 - Osorno
353,11,BOOKS,2016,0.0,Osorno,11 - Osorno
354,11,BOOKS,2017,0.0,Osorno,11 - Osorno
355,11,BREAD/BAKERY,2013,202943.0,Osorno,11 - Osorno
356,11,BREAD/BAKERY,2014,223409.0,Osorno,11 - Osorno
357,11,BREAD/BAKERY,2015,222744.0,Osorno,11 - Osorno
358,11,BREAD/BAKERY,2016,220300.0,Osorno,11 - Osorno
359,11,BREAD/BAKERY,2017,151498.0,Osorno,11 - Osorno
360,11,CELEBRATION,2013,0.0,Osorno,11 - Osorno
361,11,CELEBRATION,2014,4287.0,Osorno,11 - Osorno
362,11,CELEBRATION,2015,4013.0,Osorno,11 - Osorno
363,11,CELEBRATION,2016,5528.0,Osorno,11 - Osorno
364,11,CELEBRATION,2017,3245.0,Osorno,11 - Osorno
365,11,CLEANING,2013,636121.0,Osorno,11 - Osorno
366,11,CLEANING,2014,699285.0,Osorno,11 - Osorno
367,11,CLEANING,2015,736576.0,Osorno,11 - Osorno
368,11,CLEANING,2016,729070.0,Osorno,11 - Osorno
369,11,CLEANING,2017,472733.0,Osorno,11 - Osorno
370,11,DAIRY,2013,84808.0,Osorno,11 - Osorno
371,11,DAIRY,2014,188370.0,Osorno,11 - Osorno
372,11,DAIRY,2015,194627.0,Osorno,11 - Osorno
373,11,DAIRY,2016,228992.0,Osorno,11 - Osorno
374,11,DAIRY,2017,166891.0,Osorno,11 - Osorno
375,11,DELI,2013,109162.08,Osorno,11 - Osorno
376,11,DELI,2014,142621.03,Osorno,11 - Osorno
377,11,DELI,2015,173084.56,Osorno,11 - Osorno
378,11,DELI,2016,178750.48,Osorno,11 - Osorno
379,11,DELI,2017,120952.61,Osorno,11 - Osorno
380,11,EGGS,2013,33753.0,Osorno,11 - Osorno
381,11,EGGS,2014,74284.0,Osorno,11 - Osorno
382,11,EGGS,2015,61454.0,Osorno,11 - Osorno
383,11,EGGS,2016,58140.0,Osorno,11 - Osorno
384,11,EGGS,2017,37621.0,Osorno,11 - Osorno
385,11,FROZEN FOODS,2013,24155.95,Osorno,11 - Osorno
386,11,FROZEN FOODS,2014,37378.273,Osorno,11 - Osorno
387,11,FROZEN FOODS,2015,44880.316,Osorno,11 - Osorno
388,11,FROZEN FOODS,2016,43813.312,Osorno,11 - Osorno
389,11,FROZEN FOODS,2017,21963.963,Osorno,11 - Osorno
390,11,GROCERY I,2013,2046665.0,Osorno,11 - Osorno
391,11,GROCERY I,2014,2275785.8,Osorno,11 - Osorno
392,11,GROCERY I,2015,2354384.2,Osorno,11 - Osorno
393,11,GROCERY I,2016,2648168.2,Osorno,11 - Osorno
394,11,GROCERY I,2017,1719945.0,Osorno,11 - Osorno
395,11,GROCERY II,2013,5351.0,Osorno,11 - Osorno
396,11,GROCERY II,2014,6300.0,Osorno,11 - Osorno
397,11,GROCERY II,2015,5880.0,Osorno,11 - Osorno
398,11,GROCERY II,2016,5673.0,Osorno,11 - Osorno
399,11,GROCERY II,2017,6194.0,Osorno,11 - Osorno
400,11,HARDWARE,2013,253.0,Osorno,11 - Osorno
401,11,HARDWARE,2014,340.0,Osorno,11 - Osorno
402,11,HARDWARE,2015,231.0,Osorno,11 - Osorno
403,11,HARDWARE,2016,221.0,Osorno,11 - Osorno
404,11,HARDWARE,2017,186.0,Osorno,11 - Osorno
405,11,HOME AND KITCHEN I,2013,0.0,Osorno,11 - Osorno
406,11,HOME AND KITCHEN I,2014,7154.0,Osorno,11 - Osorno
407,11,HOME AND KITCHEN I,2015,11999.0,Osorno,11 - Osorno
408,11,HOME AND KITCHEN I,2016,11396.0,Osorno,11 - Osorno
409,11,HOME AND KITCHEN I,2017,9053.0,Osorno,11 - Osorno
410,11,HOME AND KITCHEN II,2013,0.0,Osorno,11 - Osorno
411,11,HOME AND KITCHEN II,2014,3420.0,Osorno,11 - Osorno
412,11,HOME AND KITCHEN II,2015,7882.0,Osorno,11 - Osorno
413,11,HOME AND KITCHEN II,2016,6662.0,Osorno,11 - Osorno
414,11,HOME AND KITCHEN II,2017,5443.0,Osorno,11 - Osorno
